"","Metab","Nobs","Beta","SE","P","Model","P_fdr"
"25","C8_TG.56.8",7626,-0.000342914556916797,0.00842320943088953,0.967528337453266,"lmer",0.986057783680272
"26","C8_TG.56.7",7627,-0.00562803508561866,0.00844592510296021,0.505214260088825,"lmer",0.754540778054739
"27","C8_TG.58.11",7626,0.00662510374266253,0.00857233370444048,0.439652992306384,"lmer",0.71490898183611
"28","C8_TG.58.10",7625,0.00325229589873265,0.00826884883171496,0.694102275385043,"lmer",0.866677702038467
"29","C8_TG.58.9",7627,0.00441113759504813,0.00855393829413962,0.606099571090057,"lmer",0.815221645325808
"30","C8_TG.58.7_A",7625,-0.00025490738039441,0.00915559072136193,0.977789620303948,"lmer",0.986366722236439
"31","C8_TG.60.12",7614,0.00689692462089229,0.00847312835866569,0.41570126556445,"lmer",0.70302419911635
"32","C8_QI7297",7626,0.00572794096923013,0.00948498679604733,0.545942959013901,"lmer",0.772819918730157
"33","C8_QI5120",7627,0.00746079990869558,0.00842905027154324,0.376133689991099,"lmer",0.682506910710684
"34","C8_QI11020",7627,0.00561130117780042,0.00834081596296799,0.501139308392249,"lmer",0.753346672746517
"35","C8_QI1850",7627,-0.00343883777304148,0.00954240361373054,0.718583938235464,"lmer",0.874467226424109
"36","C8_QI9896",7626,0.0168982264462022,0.00859889124021612,0.049455691943927,"lmer",0.309287582643085
"37","C8_QI2435",7626,0.0165335356484538,0.00930287366333907,0.0755933769052303,"lmer",0.332420406093621
"38","C8_QI3132",7608,0.00913772939182054,0.00807765283555525,0.258016077435171,"lmer",0.58756136445633
"39","C8_QI8941",7624,0.0156399510015736,0.00976011959871041,0.10912849818161,"lmer",0.388093154845261
"40","C8_QI3326",7606,0.0114967280791723,0.00948629622088661,0.22560206955744,"lmer",0.55842262201007
"41","C8_QI3325",7627,0.0109525798414697,0.00936599639604305,0.242304570176372,"lmer",0.580521366047558
"42","C8_QI3338",7626,0.0124311474401296,0.00872856161569902,0.154459417566203,"lmer",0.47356375487663
"43","C8_QI3437",7624,0.00694509683769502,0.00876818260554052,0.42835549916448,"lmer",0.708789674876478
"44","C8_QI8783",7626,-0.00662621711699147,0.00879377245580751,0.451180758106315,"lmer",0.720635933086476
"45","C8_QI8717",7626,-0.00620650179972788,0.00900181276924947,0.490561074836648,"lmer",0.752193648082861
"46","C8_QI8654",7615,0.00613853093055054,0.00910203066620695,0.500082782161578,"lmer",0.753346672746517
"47","C8_QI3670",7600,-0.00203276722057128,0.00839319202057547,0.808641883259812,"lmer",0.925772908329338
"48","C8_QI3679",7626,0.00146262207987773,0.008295505943976,0.860054378018926,"lmer",0.947441528461941
"49","C8_QI3698",7623,-0.00113967371349444,0.0090510440969032,0.899803758318076,"lmer",0.960538424478515
"50","C8_QI8300",7624,0.00134554220400066,0.00931612849717875,0.885166131743282,"lmer",0.951346777107266
"51","C8_QI8223",7626,0.00209883554752053,0.00803900337198783,0.794041469317629,"lmer",0.922371403752801
"52","C8_QI8146",7625,0.002935884732471,0.00767795777384694,0.702198623252208,"lmer",0.867069038878943
"53","C8_QI8066",7626,0.000980982493311181,0.00895211399547648,0.912746444440436,"lmer",0.960538424478515
"54","C8_QI7914",7623,0.00536892553394892,0.00833408020091597,0.519469612819068,"lmer",0.760099952345233
"55","C8_QI7760",7623,-0.0164882586366187,0.00934979646567685,0.0778850268002822,"lmer",0.332420406093621
"56","C8_QI4968",7601,0.00774659855758957,0.0090667860171683,0.392932308935037,"lmer",0.68637777747583
"57","C8_QI4993",7624,-0.00131924202082603,0.00854594155137772,0.877324398330026,"lmer",0.951346777107266
