"","Estimate","StdErr","z.value","p.value"
"C8_PC.42.2",0,NA,NA,NA
"C8_PC.44.4",0,NA,NA,NA
"C8_PC.O.31.0",0,NA,NA,NA
"C8_PC.O.32.0",0,NA,NA,NA
"C8_PC.O.33.0",0,NA,NA,NA
"C8_PC.O.34.1",0,NA,NA,NA
"C8_PC.O.34.0",0,NA,NA,NA
"C8_PC.O.36.4",0,NA,NA,NA
"C8_PC.O.36.3",0,NA,NA,NA
"C8_PC.O.36.2",0,NA,NA,NA
"C8_PC.O.36.1",0,NA,NA,NA
"C8_PC.O.36.0",0,NA,NA,NA
"C8_PC.O.38.6",0,NA,NA,NA
"C8_PC.O.38.5",0,NA,NA,NA
"C8_PC.O.38.4",0,NA,NA,NA
"C8_PC.O.38.3",0,NA,NA,NA
"C8_PC.O.38.0",0,NA,NA,NA
"C8_PC.P.33.0",0,NA,NA,NA
"C8_PC.P.34.1.or.PC.O.34.2_A",0,NA,NA,NA
"C8_PC.P.36.2",0,NA,NA,NA
"C8_PC.P.36.1",0,NA,NA,NA
"C8_PC.P.38.3",0,NA,NA,NA
"C8_PC.P.40.6.or.PC.O.40.7_B",0,NA,NA,NA
"C8_PC.P.40.3",0,NA,NA,NA
"C8_PC.P.42.6.or.PC.O.42.7_C",0,NA,NA,NA
"C8_PC.P.42.5.or.PC.O.42.6",0,NA,NA,NA
"C8_PC.P.42.4.or.PC.O.42.5",0,NA,NA,NA
"C8_PC.P.42.3",0,NA,NA,NA
"C8_PC.P.42.1.or.PC.O.42.2_A",0,NA,NA,NA
"C8_PC.P.42.1.or.PC.O.42.2_B",0,NA,NA,NA
"C8_PC.P.44.6.or.PC.O.44.7",0,NA,NA,NA
"C8_PC.P.44.5.or.PC.O.44.6_A",0,NA,NA,NA
"C8_PC.P.44.4.or.PC.O.44.5",0,NA,NA,NA
"C8_PC.P.44.3.or.PC.O.44.4",0,NA,NA,NA
"C8_PC.P.46.6.or.PC.O.46.7",0,NA,NA,NA
"C8_PC.P.46.4.or.PC.O.46.5_A",0,NA,NA,NA
"C8_PC.P.46.4.or.PC.O.46.5_B",0,NA,NA,NA
"C8_LPE.18.1.0.0",0,NA,NA,NA
"C8_LPE.0.0.18.0",0,NA,NA,NA
"C8_LPE.0.0.20.4",0,NA,NA,NA
"C8_LPE.20.3.0.0",0,NA,NA,NA
"C8_PE.36.1",0,NA,NA,NA
"C8_PE.O.36.4",0,NA,NA,NA
"C8_PE.P.36.1.or.PE.O.36.2",0,NA,NA,NA
"C8_PE.P.37.4.or.PE.O.37.5",0,NA,NA,NA
"C8_PE.P.38.5",0,NA,NA,NA
"C8_PE.P.38.4.or.PE.O.38.5",0,NA,NA,NA
"C8_PE.P.38.2",0,NA,NA,NA
"C8_PE.P.40.5",0,NA,NA,NA
"C8_PE.P.40.4",0,NA,NA,NA
"C8_PS.34.0",0,NA,NA,NA
"C8_SM.30.1.O2",0,NA,NA,NA
