"","Estimate","StdErr","z.value","p.value"
"C8_QI9237",0,NA,NA,NA
"C8_QI2984",0,NA,NA,NA
"C8_QI2979",0,NA,NA,NA
"C8_QI3007",0,NA,NA,NA
"C8_QI3021",0,NA,NA,NA
"C8_QI9203",0,NA,NA,NA
"C8_QI9191",0,NA,NA,NA
"C8_QI9180",0,NA,NA,NA
"C8_QI3082",0,NA,NA,NA
"C8_QI9128",0,NA,NA,NA
"C8_QI3119",0,NA,NA,NA
"C8_QI3132",0,NA,NA,NA
"C8_QI9086",0,NA,NA,NA
"C8_QI9088",0,NA,NA,NA
"C8_QI9082",0,NA,NA,NA
"C8_QI3161",0,NA,NA,NA
"C8_QI3170",0,NA,NA,NA
"C8_QI3172",0,NA,NA,NA
"C8_QI3164",0,NA,NA,NA
"C8_QI9065",0,NA,NA,NA
"C8_QI9057",0,NA,NA,NA
"C8_QI3206",0,NA,NA,NA
"C8_QI9025",0,NA,NA,NA
"C8_QI3222",0,NA,NA,NA
"C8_QI8981",0,NA,NA,NA
"C8_QI3311",0,NA,NA,NA
"C8_QI8965",0,NA,NA,NA
"C8_QI8951",0,NA,NA,NA
"C8_QI3279",0,NA,NA,NA
"C8_QI8944",0,NA,NA,NA
"C8_QI8943",0,NA,NA,NA
"C8_QI8941",0,NA,NA,NA
"C8_QI3299",0,NA,NA,NA
"C8_QI8946",0,NA,NA,NA
"C8_QI3298",0,NA,NA,NA
"C8_QI3326",0,NA,NA,NA
"C8_QI3325",0,NA,NA,NA
"C8_QI8906",0,NA,NA,NA
"C8_QI3338",0,NA,NA,NA
"C8_QI3400",0,NA,NA,NA
"C8_QI8844",0,NA,NA,NA
"C8_QI3397",0,NA,NA,NA
"C8_QI8833",0,NA,NA,NA
"C8_QI3421",0,NA,NA,NA
"C8_QI8797",0,NA,NA,NA
"C8_QI3437",0,NA,NA,NA
"C8_QI8783",0,NA,NA,NA
"C8_QI8775",0,NA,NA,NA
"C8_QI8768",0,NA,NA,NA
"C8_QI8758",-6.92256698084592e-05,NA,NA,NA
"C8_QI3503",0,NA,NA,NA
"C8_QI8717",0,NA,NA,NA
"C8_QI3560",0,NA,NA,NA
"C8_QI3552",-0.000913481345695194,NA,NA,NA
"C8_QI8680",0,NA,NA,NA
"C8_QI8673",0,NA,NA,NA
"C8_QI8654",0,NA,NA,NA
"C8_QI3597",0,NA,NA,NA
"C8_QI3586",0,NA,NA,NA
"C8_QI3593",0,NA,NA,NA
"C8_QI3596",0,NA,NA,NA
"C8_QI3625",0,NA,NA,NA
"C8_QI8611",-0.000839895467297584,NA,NA,NA
"C8_QI3642",0,NA,NA,NA
"C8_QI3679",0,NA,NA,NA
"C8_QI3698",0,NA,NA,NA
"C8_QI3711",0,NA,NA,NA
"C8_QI3727",0,NA,NA,NA
"C8_QI3712",0,NA,NA,NA
"C8_QI8521",-8.72227053108201e-05,NA,NA,NA
"C8_QI3733",0,NA,NA,NA
"C8_QI3736",0,NA,NA,NA
"C8_QI8486",0,NA,NA,NA
"C8_QI3749",0,NA,NA,NA
"C8_QI8480",0,NA,NA,NA
"C8_QI3773",0,NA,NA,NA
"C8_QI3827",0,NA,NA,NA
"C8_QI8378",0,NA,NA,NA
"C8_QI8396",0,NA,NA,NA
"C8_QI8377",0,NA,NA,NA
"C8_QI3864",0,NA,NA,NA
"C8_QI3844",0,NA,NA,NA
"C8_QI8372",0,NA,NA,NA
"C8_QI8365",0,NA,NA,NA
"C8_QI8356",0,NA,NA,NA
"C8_QI8355",0,NA,NA,NA
"C8_QI3892",0,NA,NA,NA
"C8_QI8346",0,NA,NA,NA
"C8_QI3912",0,NA,NA,NA
"C8_QI3917",0,NA,NA,NA
"C8_QI8305",0,NA,NA,NA
"C8_QI3934",0,NA,NA,NA
"C8_QI8300",0,NA,NA,NA
"C8_QI3940",0,NA,NA,NA
"C8_QI8261",0,NA,NA,NA
"C8_QI8262",0,NA,NA,NA
"C8_QI8230",0,NA,NA,NA
"C8_QI8223",0,NA,NA,NA
"C8_QI8226",0,NA,NA,NA
"C8_QI8191",0,NA,NA,NA
"C8_QI8179",0,NA,NA,NA
"C8_QI8178",0,NA,NA,NA
"C8_QI8154",0,NA,NA,NA
"C8_QI8146",0,NA,NA,NA
"C8_QI4143",0,NA,NA,NA
"C8_QI8066",0,NA,NA,NA
"C8_QI4198",0,NA,NA,NA
"C8_QI4215",0,NA,NA,NA
"C8_QI4216",0,NA,NA,NA
"C8_QI4212",0,NA,NA,NA
"C8_QI4230",0,NA,NA,NA
"C8_QI4267",0,NA,NA,NA
"C8_QI7976",0,NA,NA,NA
"C8_QI4273",0,NA,NA,NA
"C8_QI7945",0,NA,NA,NA
"C8_QI7928",0,NA,NA,NA
"C8_QI4323",0,NA,NA,NA
"C8_QI7915",0,NA,NA,NA
"C8_QI7917",0,NA,NA,NA
"C8_QI7914",0,NA,NA,NA
"C8_QI7909",0,NA,NA,NA
"C8_QI7895",0,NA,NA,NA
"C8_QI7890",0,NA,NA,NA
"C8_QI4346",0,NA,NA,NA
"C8_QI7880",0,NA,NA,NA
"C8_QI4414",0,NA,NA,NA
"C8_QI4444",0,NA,NA,NA
"C8_QI7777",0,NA,NA,NA
"C8_QI4470",0,NA,NA,NA
"C8_QI7760",0,NA,NA,NA
"C8_QI7749",0,NA,NA,NA
"C8_QI4495",0,NA,NA,NA
"C8_QI7731",0,NA,NA,NA
"C8_QI7730",0,NA,NA,NA
"C8_QI4526",0,NA,NA,NA
"C8_QI7716",0,NA,NA,NA
"C8_QI7673",0,NA,NA,NA
"C8_QI4570",0,NA,NA,NA
"C8_QI4578",0,NA,NA,NA
"C8_QI7655",0,NA,NA,NA
"C8_QI7657",0,NA,NA,NA
"C8_QI4588",0,NA,NA,NA
"C8_QI4593",0,NA,NA,NA
"C8_QI7644",0,NA,NA,NA
"C8_QI4625",0,NA,NA,NA
"C8_QI7585",0,NA,NA,NA
"C8_QI4669",0,NA,NA,NA
"C8_QI4682",0,NA,NA,NA
"C8_QI4796",0,NA,NA,NA
"C8_QI7444",0,NA,NA,NA
"C8_QI7365",0,NA,NA,NA
"C8_QI4927",0,NA,NA,NA
"C8_QI4967",0,NA,NA,NA
"C8_QI4968",0,NA,NA,NA
"C8_QI4974",0,NA,NA,NA
"C8_QI4993",0,NA,NA,NA
"C8_QI7229",0,NA,NA,NA
"C8_QI7182",0,NA,NA,NA
"C8_QI5061",0,NA,NA,NA
"C8_QI7164",0,NA,NA,NA
"C8_QI5103",0,NA,NA,NA
"C8_QI7126",-0.000152473307662182,NA,NA,NA
"C8_QI7099",0,NA,NA,NA
"C8_QI5143",0,NA,NA,NA
"C8_QI5159",0,NA,NA,NA
"C8_QI7085",0,NA,NA,NA
"C8_QI7070",0,NA,NA,NA
"C8_QI7031",0,NA,NA,NA
"C8_QI5208",0,NA,NA,NA
"C8_QI5232",-0.000422450470044811,NA,NA,NA
"C8_QI6978",0,NA,NA,NA
"C8_QI5288",0,NA,NA,NA
"C8_QI5338",0,NA,NA,NA
"C8_QI6885",0,NA,NA,NA
"C8_QI5367",-0.00132640124660561,NA,NA,NA
"C8_QI6845",0,NA,NA,NA
"C8_QI5445",0,NA,NA,NA
"C8_QI6743",0,NA,NA,NA
"C8_QI6599",0,NA,NA,NA
"C18_X15R.15.methyl.PGA2..iSTD.",0,NA,NA,NA
"C18_Capric.acid",0,NA,NA,NA
"C18_Lauric.acid",0,NA,NA,NA
"C18_Tridecylic.acid",0,NA,NA,NA
"C18_Myristic.acid",0,NA,NA,NA
"C18_Pentadecylic.acid",0,NA,NA,NA
"C18_Palmitic.acid",0,NA,NA,NA
"C18_Margaric.acid",0,NA,NA,NA
"C18_Stearic.acid",0,NA,NA,NA
"C18_Nonadecylic.acid",0,NA,NA,NA
"C18_Arachidic.acid",0,NA,NA,NA
"C18_X3.decenoic.acid",0,NA,NA,NA
"C18_X10.Hendecenoic.acid",0,NA,NA,NA
"C18_X5.Dodecenoic.acid",0,NA,NA,NA
"C18_Myristoleic.acid",0,NA,NA,NA
"C18_X10.Pentadecenoic.acid",0,NA,NA,NA
"C18_Palmitoleic.acid",0,NA,NA,NA
"C18_X10Z.Heptadecenoic.acid",0,NA,NA,NA
"C18_alpha.Linolenic.acid",0,NA,NA,NA
"C18_gamma.Linolenic.acid",0,NA,NA,NA
"C18_Linoleic.acid",0,NA,NA,NA
"C18_Oleic.acid",0,NA,NA,NA
"C18_Nonadeca.10Z.enoic.acid",0,NA,NA,NA
"C18_Eicosapentaenoic.acid",0,NA,NA,NA
"C18_Arachidonic.acid",0,NA,NA,NA
"C18_Eicosatrienoic.acid",0,NA,NA,NA
"C18_Eicosadienoic.acid",0,NA,NA,NA
"C18_Eicosenoic.acid",0,NA,NA,NA
"C18_Docosahexaenoic.acid",0,NA,NA,NA
"C18_Docosapentaenoic.acid..22n.6.",0,NA,NA,NA
"C18_Adrenic.acid",0,NA,NA,NA
"C18_cis.Erucic.acid",0,NA,NA,NA
"C18_Nervonic.acid",0,NA,NA,NA
"C18_X11.methyl.lauric.acid",0,NA,NA,NA
"C18_Xi.17.Methyloctadecanoic.acid",0,NA,NA,NA
"C18_X3.Methyladipic.acid",0,NA,NA,NA
"C18_Azelaic.acid",0,NA,NA,NA
"C18_Sebacic.acid",0,NA,NA,NA
"C18_Undecanedioic.acid",0,NA,NA,NA
"C18_Dodecanedioic.acid",0,NA,NA,NA
"C18_Tetradecanedioic.acid",0,NA,NA,NA
"C18_Hexadecanedioic.acid",0,NA,NA,NA
"C18_Eicosanedioic.acid",0,NA,NA,NA
"C18_X3S.Hydroxyhexanoic.acid",0,NA,NA,NA
"C18_X2.Hydroxyoctanoic.acid",0,NA,NA,NA
"C18_X3.Hydroxyoctanoic.acid",0,NA,NA,NA
"C18_X3.Hydroxydecanoic.acid",0,NA,NA,NA
"C18_X2.Hydroxymyristic.acid",0,NA,NA,NA
"C18_Juniperic.acid",0,NA,NA,NA
"C18_X2.Hydroxy.palmitic.acid",0,NA,NA,NA
"C18_X2.Hydroxystearic.acid",0,NA,NA,NA
"C18_Levulinic.acid",0,NA,NA,NA
"C18_X3.oxooctadecanoate",0,NA,NA,NA
"C18_X12.13.DiHOME",0,NA,NA,NA
"C18_X9.10.DiHOME",0,NA,NA,NA
"C18_X13.HODE",0,NA,NA,NA
"C18_X12.HETE",0,NA,NA,NA
"C18_X15.HETE",0,NA,NA,NA
"C18_Phytanic.acid",0,NA,NA,NA
"C18_X9.cis.Retinoic.acid",0,NA,NA,NA
"C18_Sphingosine.1.phosphate",0,NA,NA,NA
"C18_Chenodeoxycholic.acid",0,NA,NA,NA
"C18_Hyodeoxycholic.acid.or.Ursodeoxycholic.acid",0,NA,NA,NA
"C18_Cholic.acid",0,NA,NA,NA
"C18_Glycolithocholic.acid",0,NA,NA,NA
"C18_Glycoursodeoxycholic.acid",0,NA,NA,NA
"C18_Glycochenodeoxycholic.acid",0,NA,NA,NA
"C18_Glycocholic.acid",0,NA,NA,NA
"C18_Taurodeoxycholic.acid",0,NA,NA,NA
"C18_Taurochenodeoxycholic.acid",0,NA,NA,NA
"C18_Taurocholic.acid",0,NA,NA,NA
"C18_Androsterone.3.glucuronide",0,NA,NA,NA
"C18_Dehydroepiandrosterone.sulfate",0,NA,NA,NA
"C18_Pregnenolone.sulfate",0,NA,NA,NA
"C18_Salicyluric.acid",0,NA,NA,NA
"C18_Mandelic.acid",0,NA,NA,NA
"C18_Salicylic.acid",0,NA,NA,NA
"C18_p.Hydroxyphenylacetic.acid",0,NA,NA,NA
"C18_Theophylline",0,NA,NA,NA
"C18_Ribothymidine",0,NA,NA,NA
"C18_X2.Aminocaprylic.acid",0,NA,NA,NA
"C18_N.Formylmethionine",0,NA,NA,NA
"C18_alpha.N.Phenylacetylglutamine",0,NA,NA,NA
"C18_gamma.CEHC",0,NA,NA,NA
"C18_alpha.CEHC",0,NA,NA,NA
"C18_Saccharin",0,NA,NA,NA
"C18_Indoleacetic.acid",0,NA,NA,NA
"C18_Hydrocinnamic.acid",0,NA,NA,NA
"C18_Phenyllactic.acid",0,NA,NA,NA
"C18_carboxyibuprofen",0,NA,NA,NA
"C18_Oxypurinol",0,NA,NA,NA
"C18_QI08",0,NA,NA,NA
"C18_QI49",0,NA,NA,NA
"C18_QI63",0,NA,NA,NA
"C18_QI214",0,NA,NA,NA
"C18_QI317",0,NA,NA,NA
"C18_QI1370",0,NA,NA,NA
"C18_QI1466",0,NA,NA,NA
"C18_QI1419",0,NA,NA,NA
"C18_QI1516",0,NA,NA,NA
"C18_QI1939",0,NA,NA,NA
"C18_QI1596",0,NA,NA,NA
"C18_QI1601",0,NA,NA,NA
"C18_QI1618",0,NA,NA,NA
"C18_QI1621",0,NA,NA,NA
"C18_QI1622",0,NA,NA,NA
"C18_QI1606",0,NA,NA,NA
"C18_QI1610",0,NA,NA,NA
"C18_QI1615",0,NA,NA,NA
"C18_QI1617",0,NA,NA,NA
"C18_QI1624",0,NA,NA,NA
"C18_QI1627",0,NA,NA,NA
"C18_QI1628",0,NA,NA,NA
"C18_QI1630",0,NA,NA,NA
"C18_QI1633",0,NA,NA,NA
"C18_QI1635",0,NA,NA,NA
"C18_QI1638",0,NA,NA,NA
"C18_QI1648",0,NA,NA,NA
"C18_QI1649",0,NA,NA,NA
"C18_QI1651",0,NA,NA,NA
"C18_QI1652",0,NA,NA,NA
"C18_QI1655",0,NA,NA,NA
"C18_QI1657",0,NA,NA,NA
"C18_QI1665",0,NA,NA,NA
"C18_QI1669",0,NA,NA,NA
"C18_QI1674",0,NA,NA,NA
"C18_QI1675",0,NA,NA,NA
"C18_QI1678",0,NA,NA,NA
"C18_QI1684",0,NA,NA,NA
"C18_QI1687",0,NA,NA,NA
"C18_QI1707",0,NA,NA,NA
"C18_QI1710",0,NA,NA,NA
"C18_QI1718",0,NA,NA,NA
"C18_QI1720",0,NA,NA,NA
"C18_QI1721",0,NA,NA,NA
"C18_QI1722",0,NA,NA,NA
"C18_QI1727",0,NA,NA,NA
"C18_QI1729",0,NA,NA,NA
"C18_QI1731",0,NA,NA,NA
"C18_QI1735",0,NA,NA,NA
"C18_QI1745",0,NA,NA,NA
"C18_QI1746",0,NA,NA,NA
"C18_QI1780",0,NA,NA,NA
"C18_QI1784",0,NA,NA,NA
"C18_QI1714",0,NA,NA,NA
"C18_QI1716",0,NA,NA,NA
"C18_QI1723",0,NA,NA,NA
"C18_QI1724",0,NA,NA,NA
"C18_QI1726",0,NA,NA,NA
"C18_QI1733",0,NA,NA,NA
"C18_QI1737",0,NA,NA,NA
"C18_QI1740",0,NA,NA,NA
"C18_QI1742",0,NA,NA,NA
"C18_QI1748",0,NA,NA,NA
"C18_QI1752",0,NA,NA,NA
"C18_QI1755",0,NA,NA,NA
"C18_QI1761",0,NA,NA,NA
"C18_QI1764",0,NA,NA,NA
"C18_QI1787",0,NA,NA,NA
"C18_QI1790",0,NA,NA,NA
"C18_QI1792",0,NA,NA,NA
"C18_QI1799",0,NA,NA,NA
"C18_QI1800",0,NA,NA,NA
"C18_QI1802",0,NA,NA,NA
"C18_QI1809",0,NA,NA,NA
"C18_QI1811",0,NA,NA,NA
"C18_QI1813",0,NA,NA,NA
"C18_QI1819",0,NA,NA,NA
"C18_QI1820",0,NA,NA,NA
"C18_QI1821",0,NA,NA,NA
"C18_QI1822",0,NA,NA,NA
"C18_QI1827",0,NA,NA,NA
"C18_QI1829",0,NA,NA,NA
"C18_QI1834",0,NA,NA,NA
"C18_QI1838",0,NA,NA,NA
"C18_QI1843",0,NA,NA,NA
"C18_QI1856",0,NA,NA,NA
"C18_QI1794",0,NA,NA,NA
"C18_QI1797",0,NA,NA,NA
"C18_QI1812",0,NA,NA,NA
"C18_QI1818",0,NA,NA,NA
"C18_QI1831",0,NA,NA,NA
"C18_QI1914",0,NA,NA,NA
"C18_QI1919",0,NA,NA,NA
"C18_QI1935",0,NA,NA,NA
"C18_QI1936",0,NA,NA,NA
"C18_QI1940",0,NA,NA,NA
"C18_QI1941",0,NA,NA,NA
"C18_QI1944",0,NA,NA,NA
"C18_QI1945",0,NA,NA,NA
"C18_QI1947",0,NA,NA,NA
"C18_QI1950",0,NA,NA,NA
"C18_QI1951",0,NA,NA,NA
"C18_QI1953",0,NA,NA,NA
"C18_QI1976",0,NA,NA,NA
"C18_QI1979",0,NA,NA,NA
"C18_QI1981",0,NA,NA,NA
"C18_QI1984",0,NA,NA,NA
"C18_QI1985",0,NA,NA,NA
"C18_QI1892",0,NA,NA,NA
"C18_QI1894",0,NA,NA,NA
"C18_QI1898",0,NA,NA,NA
"C18_QI1900",0,NA,NA,NA
"C18_QI1903",0,NA,NA,NA
"C18_QI1904",0,NA,NA,NA
"C18_QI1907",0,NA,NA,NA
"C18_QI1908",0,NA,NA,NA
"C18_QI1912",0,NA,NA,NA
"C18_QI1913",0,NA,NA,NA
"C18_QI1917",0,NA,NA,NA
"C18_QI1928",0,NA,NA,NA
"C18_QI1956",0,NA,NA,NA
"C18_QI1960",0,NA,NA,NA
"C18_QI1965",0,NA,NA,NA
"C18_QI1966",0,NA,NA,NA
"C18_QI1993",0,NA,NA,NA
"C18_QI2020",0,NA,NA,NA
"C18_QI2040",0,NA,NA,NA
"C18_QI2044",0,NA,NA,NA
"C18_QI2048",0,NA,NA,NA
"C18_QI2049",0,NA,NA,NA
"C18_QI2050",0,NA,NA,NA
"C18_QI2051",0,NA,NA,NA
"C18_QI2054",0,NA,NA,NA
"C18_QI2055",0,NA,NA,NA
"C18_QI2069",0,NA,NA,NA
"C18_QI2076",0,NA,NA,NA
"C18_QI2086",0,NA,NA,NA
"C18_QI2092",0,NA,NA,NA
"C18_QI2099",0,NA,NA,NA
"C18_QI2100",0,NA,NA,NA
"C18_QI2102",0,NA,NA,NA
"C18_QI2106",0,NA,NA,NA
"C18_QI2117",0,NA,NA,NA
"C18_QI2028",0,NA,NA,NA
"C18_QI2030",0,NA,NA,NA
"C18_QI2035",0,NA,NA,NA
"C18_QI2061",0,NA,NA,NA
"C18_QI2063",0,NA,NA,NA
"C18_QI2064",0,NA,NA,NA
"C18_QI2067",0,NA,NA,NA
"C18_QI2068",0,NA,NA,NA
"C18_QI2072",0,NA,NA,NA
"C18_QI2081",0,NA,NA,NA
"C18_QI2082",0,NA,NA,NA
"C18_QI2083",0,NA,NA,NA
"C18_QI2084",0,NA,NA,NA
"C18_QI2089",0,NA,NA,NA
"C18_QI2110",0,NA,NA,NA
"C18_QI2132",0,NA,NA,NA
"C18_QI2135",0,NA,NA,NA
"C18_QI2137",0,NA,NA,NA
"C18_QI2139",0,NA,NA,NA
"C18_QI2142",0,NA,NA,NA
"C18_QI2161",0,NA,NA,NA
"C18_QI2163",0,NA,NA,NA
"C18_QI2172",0,NA,NA,NA
"C18_QI2180",0,NA,NA,NA
"C18_QI2181",0,NA,NA,NA
"C18_QI2182",0,NA,NA,NA
"C18_QI2185",0,NA,NA,NA
"C18_QI2188",0,NA,NA,NA
"C18_QI2190",0,NA,NA,NA
"C18_QI2201",0,NA,NA,NA
"C18_QI2145",0,NA,NA,NA
"C18_QI2148",0,NA,NA,NA
"C18_QI2149",0,NA,NA,NA
"C18_QI2151",0,NA,NA,NA
"C18_QI2153",0,NA,NA,NA
"C18_QI2156",0,NA,NA,NA
"C18_QI2167",0,NA,NA,NA
"C18_QI2171",0,NA,NA,NA
"C18_QI2175",0,NA,NA,NA
"C18_QI2177",0,NA,NA,NA
"C18_QI2214",0,NA,NA,NA
"C18_QI2225",0,NA,NA,NA
"C18_QI2244",0,NA,NA,NA
"C18_QI2249",0,NA,NA,NA
"C18_QI2259",0,NA,NA,NA
"C18_QI2263",0,NA,NA,NA
"C18_QI2273",0,NA,NA,NA
"C18_QI2239",0,NA,NA,NA
"C18_QI2250",0,NA,NA,NA
"C18_QI2251",0,NA,NA,NA
"C18_QI2252",0,NA,NA,NA
"C18_QI2277",0,NA,NA,NA
"C18_QI2284",0,NA,NA,NA
"C18_QI2288",0,NA,NA,NA
"C18_QI2256",0,NA,NA,NA
"C18_QI2264",0,NA,NA,NA
"C18_QI2266",0,NA,NA,NA
"C18_QI2269",0,NA,NA,NA
"C18_QI2301",0,NA,NA,NA
"C18_QI2314",0,NA,NA,NA
"C18_QI2320",0,NA,NA,NA
"C18_QI2351",0,NA,NA,NA
"C18_QI2357",0,NA,NA,NA
"C18_QI2359",0,NA,NA,NA
"C18_QI2361",0,NA,NA,NA
"C18_QI2374",0,NA,NA,NA
"C18_QI2378",0,NA,NA,NA
"C18_QI2379",0,NA,NA,NA
"C18_QI2381",0,NA,NA,NA
"C18_QI2390",0,NA,NA,NA
"C18_QI2391",0,NA,NA,NA
"C18_QI2394",0,NA,NA,NA
"C18_QI2348",0,NA,NA,NA
"C18_QI2365",0,NA,NA,NA
"C18_QI2368",0,NA,NA,NA
"C18_QI2387",0,NA,NA,NA
"C18_QI2388",0,NA,NA,NA
"C18_QI2397",0,NA,NA,NA
"C18_QI2450",0,NA,NA,NA
"C18_QI2453",0,NA,NA,NA
"C18_QI2455",0,NA,NA,NA
"C18_QI2456",0,NA,NA,NA
"C18_QI2460",0,NA,NA,NA
"C18_QI2462",0,NA,NA,NA
"C18_QI2468",0,NA,NA,NA
"C18_QI2478",0,NA,NA,NA
"C18_QI2482",0,NA,NA,NA
"C18_QI2489",0,NA,NA,NA
"C18_QI2490",0,NA,NA,NA
"C18_QI2503",0,NA,NA,NA
"C18_QI2504",0,NA,NA,NA
"C18_QI2505",0,NA,NA,NA
"C18_QI2517",0,NA,NA,NA
"C18_QI2519",0,NA,NA,NA
"C18_QI2526",0,NA,NA,NA
"C18_QI2617",0,NA,NA,NA
"C18_QI2634",0,NA,NA,NA
"C18_QI2642",0,NA,NA,NA
"C18_QI2660",0,NA,NA,NA
"C18_QI2681",0,NA,NA,NA
"C18_QI2619",0,NA,NA,NA
"C18_QI2766",0,NA,NA,NA
"C18_QI2829",0,NA,NA,NA
"C18_QI2850",0,NA,NA,NA
"C18_QI2764",0,NA,NA,NA
"C18_QI2769",0,NA,NA,NA
"C18_QI2782",0,NA,NA,NA
"C18_QI2788",0,NA,NA,NA
"C18_QI2790",0,NA,NA,NA
"C18_QI2792",0,NA,NA,NA
"C18_QI2794",0,NA,NA,NA
"C18_QI2801",0,NA,NA,NA
"C18_QI2802",0,NA,NA,NA
"C18_QI2815",0,NA,NA,NA
"C18_QI2820",0,NA,NA,NA
"C18_QI2821",0,NA,NA,NA
"C18_QI2826",0,NA,NA,NA
"C18_QI2830",0,NA,NA,NA
"C18_QI2835",0,NA,NA,NA
"C18_QI2840",0,NA,NA,NA
"C18_QI2861",0,NA,NA,NA
"C18_QI2868",0,NA,NA,NA
"C18_QI2870",0,NA,NA,NA
"C18_QI2874",0,NA,NA,NA
"C18_QI2897",0,NA,NA,NA
"C18_QI2899",0,NA,NA,NA
"C18_QI2903",0,NA,NA,NA
"C18_QI2905",0,NA,NA,NA
"C18_QI2907",0,NA,NA,NA
"C18_QI2911",0,NA,NA,NA
"C18_QI2912",0,NA,NA,NA
"C18_QI2916",0,NA,NA,NA
"C18_QI2925",0,NA,NA,NA
"C18_QI2833",0,NA,NA,NA
"C18_QI2834",0,NA,NA,NA
"C18_QI2836",0,NA,NA,NA
"C18_QI2837",0,NA,NA,NA
"C18_QI2838",0,NA,NA,NA
"C18_QI2839",0,NA,NA,NA
"C18_QI2845",0,NA,NA,NA
"C18_QI2865",0,NA,NA,NA
"C18_QI2866",0,NA,NA,NA
"C18_QI2867",0,NA,NA,NA
"C18_QI2869",0,NA,NA,NA
"C18_QI2873",0,NA,NA,NA
"C18_QI2875",0,NA,NA,NA
"C18_QI2876",0,NA,NA,NA
"C18_QI2879",0,NA,NA,NA
"C18_QI2922",0,NA,NA,NA
"C18_QI2927",0,NA,NA,NA
"C18_QI2931",0,NA,NA,NA
"C18_QI2944",0,NA,NA,NA
"C18_QI2949",0,NA,NA,NA
"C18_QI2958",0,NA,NA,NA
"C18_QI2961",0,NA,NA,NA
"C18_QI2970",0,NA,NA,NA
"C18_QI3003",0,NA,NA,NA
"C18_QI3005",0,NA,NA,NA
"C18_QI3035",0,NA,NA,NA
"C18_QI3039",0,NA,NA,NA
"C18_QI3065",0,NA,NA,NA
"C18_QI3018",0,NA,NA,NA
"C18_QI3021",0,NA,NA,NA
"C18_QI3026",0,NA,NA,NA
"C18_QI3029",0,NA,NA,NA
"C18_QI3063",0,NA,NA,NA
"C18_QI3091",0,NA,NA,NA
"C18_QI3161",0,NA,NA,NA
"C18_QI3167",0,NA,NA,NA
"C18_QI3189",0,NA,NA,NA
"C18_QI3197",0,NA,NA,NA
"C18_QI3217",0,NA,NA,NA
"C18_QI3070",0,NA,NA,NA
"C18_QI3082",0,NA,NA,NA
"C18_QI3105",0,NA,NA,NA
"C18_QI3135",0,NA,NA,NA
"C18_QI3142",0,NA,NA,NA
"C18_QI3188",0,NA,NA,NA
"C18_QI3246",0,NA,NA,NA
"C18_QI3247",0,NA,NA,NA
"C18_QI3259",0,NA,NA,NA
"C18_QI3265",0,NA,NA,NA
"C18_QI3267",0,NA,NA,NA
"C18_QI3269",0,NA,NA,NA
"C18_QI3286",0,NA,NA,NA
"C18_QI3292",0,NA,NA,NA
"C18_QI3299",0,NA,NA,NA
"C18_QI3314",0,NA,NA,NA
"C18_QI3320",0,NA,NA,NA
"C18_QI3334",0,NA,NA,NA
"C18_QI3337",0,NA,NA,NA
"C18_QI3345",0,NA,NA,NA
"C18_QI3359",0,NA,NA,NA
"C18_QI3363",0,NA,NA,NA
"C18_QI3375",0,NA,NA,NA
"C18_QI3240",0,NA,NA,NA
"C18_QI3242",0,NA,NA,NA
"C18_QI3251",0,NA,NA,NA
"C18_QI3252",0,NA,NA,NA
"C18_QI3254",0,NA,NA,NA
"C18_QI3256",0,NA,NA,NA
"C18_QI3276",0,NA,NA,NA
"C18_QI3277",0,NA,NA,NA
"C18_QI3280",0,NA,NA,NA
"C18_QI3282",0,NA,NA,NA
"C18_QI3291",0,NA,NA,NA
"C18_QI3295",0,NA,NA,NA
"C18_QI3309",0,NA,NA,NA
"C18_QI3316",0,NA,NA,NA
"C18_QI3325",0,NA,NA,NA
"C18_QI3327",0,NA,NA,NA
"C18_QI3394",0,NA,NA,NA
"C18_QI3434",0,NA,NA,NA
"C18_QI3484",0,NA,NA,NA
"C18_QI3630",0,NA,NA,NA
"C18_QI3649",0,NA,NA,NA
"C18_QI3653",0,NA,NA,NA
"C18_QI3659",0,NA,NA,NA
"C18_QI3664",0,NA,NA,NA
"C18_QI3665",0,NA,NA,NA
"C18_QI3666",0,NA,NA,NA
"C18_QI3670",0,NA,NA,NA
"C18_QI3671",0,NA,NA,NA
"C18_QI3678",0,NA,NA,NA
"C18_QI3681",0,NA,NA,NA
"C18_QI3698",0,NA,NA,NA
"C18_QI3699",0,NA,NA,NA
"C18_QI3700",0,NA,NA,NA
"C18_QI3719",0,NA,NA,NA
"C18_QI3720",0,NA,NA,NA
"C18_QI3721",0,NA,NA,NA
"C18_QI3728",0,NA,NA,NA
"C18_QI3730",0,NA,NA,NA
"C18_QI3733",0,NA,NA,NA
"C18_QI3735",0,NA,NA,NA
"C18_QI3739",0,NA,NA,NA
"C18_QI3748",0,NA,NA,NA
"C18_QI3749",0,NA,NA,NA
"C18_QI3754",0,NA,NA,NA
"C18_QI3756",0,NA,NA,NA
"C18_QI3758",0,NA,NA,NA
"C18_QI3766",0,NA,NA,NA
"C18_QI3769",0,NA,NA,NA
"C18_QI3797",0,NA,NA,NA
"C18_QI3807",0,NA,NA,NA
"C18_QI3836",0,NA,NA,NA
"C18_QI3852",0,NA,NA,NA
"C18_QI3910",0,NA,NA,NA
"C18_QI3914",0,NA,NA,NA
"C18_QI3622",0,NA,NA,NA
