"Metabolite","Original_Metabolite_Name","Population_Beta","Population_SE","Population_P","Population_P_fdr"
"Amide_DHA","DHA",-0.0329308449804304,0.0129474444507199,0.0109983854760747,0.0218539347771354
"C8_LPC.22.6.0.0","LPC 22:6/0:0",-0.0567203793795206,0.0140151507427523,5.24061923349377e-05,0.000334089476135228
"C8_PC.34.5","PC 34:5",-0.0472540947565473,0.0149485916149436,0.00157792140414739,0.00473376421244218
"C8_PC.38.6","PC 38:6",-0.0532802572768846,0.0137394112268905,0.000106292384990111,0.000586352033550642
"C8_PC.38.1","PC 38:1",-0.0629513059231476,0.0153402490519013,4.1089408219162e-05,0.000273333889457904
"C8_PC.39.6","PC 39:6",-0.0434927380097212,0.0139700583532682,0.00185751122119658,0.00505283288821529
"C8_PC.40.9","PC 40:9",-0.0590897095286022,0.0135746337953492,1.36199110471518e-05,0.00011315958635107
"C8_PC.40.6","PC 40:6",-0.0490345923021372,0.0137477133546655,0.000363781822485593,0.00137895418354925
"C8_PC.42.5","PC 42:5",-0.0325582821612294,0.0148141285283357,0.0279951465629676,0.0477880489504442
"C8_PC.O.38.6","PC O-38:6",0.0170090444612201,0.0142313671347509,0.232056461275182,0.286327730444378
"C8_PC.P.40.6.or.PC.O.40.7_B","PC P-40:6 or PC O-40:7_B",0.00981261865043079,0.0138631806704539,0.479081031883172,0.535032101300185
"C8_PC.P.44.6.or.PC.O.44.7","PC P-44:6 or PC O-44:7",-0.0673100721079499,0.0135810007217013,7.35937749742869e-07,1.12598475710659e-05
"C8_PC.P.46.6.or.PC.O.46.7","PC P-46:6 or PC O-46:7",-0.0581582346394545,0.0131475313875858,9.86299678589798e-06,9.43149067651494e-05
"C8_PS.34.0","PS 34:0",-0.0470573893205142,0.0146200743561494,0.00129330506199681,0.00403827907113289
"C8_SM.44.3.O2","SM 44:3;O2",-0.0403752580603394,0.0138429246786654,0.0035488763204918,0.00810415040351112
"C8_SM.44.2.O2","SM 44:2;O2",-0.0384965926768296,0.0140863238415016,0.00629320697050868,0.0137207028076658
"C8_CE.22.6","CE 22:6",-0.0501130860595106,0.0133341617588217,0.000172468740910565,0.000824616167478641
"C8_TG.52.8","TG 52:8",-0.0312127397874724,0.0149109949576975,0.0363590033281271,0.0578007648791002
"C8_TG.52.7","TG 52:7",-0.0342811949539268,0.0151084451014941,0.0232965048351114,0.0409697153996787
"C8_TG.54.9","TG 54:9",-0.0422301086435564,0.0146905802429646,0.00405650212611898,0.00912712978376772
"C8_TG.54.8","TG 54:8",-0.0490741038300064,0.0146123366663869,0.000787911695077579,0.00267889976326377
"C8_TG.55.6","TG 55:6",-0.000898814828097284,0.0149942993465572,0.952202058629745,0.952202058629745
"C8_TG.56.10","TG 56:10",-0.0448569899252629,0.0143365784441597,0.00176178144993394,0.00498283427772563
"C8_TG.56.9","TG 56:9",-0.043631639729448,0.0138513877438536,0.00163944336046304,0.00481928204121078
"C8_TG.56.8","TG 56:8",-0.0315075522134528,0.0136231925206422,0.020761984588362,0.0373715722590517
"C8_TG.56.7","TG 56:7",-0.0294431602429808,0.0139153260079752,0.034389798725257,0.0560435611424467
"C8_TG.58.11","TG 58:11",-0.0367294375206815,0.013863284132319,0.00808065209728057,0.0169361612449853
"C8_TG.58.10","TG 58:10",-0.0283177930906976,0.0134556725349927,0.035366909236217,0.0569593380330652
"C8_TG.58.9","TG 58:9",-0.0426310055011564,0.0137107814928177,0.00188242793874687,0.00505283288821529
"C8_TG.58.7_A","TG 58:7_A",-0.0367829557149433,0.0148811808945579,0.0134671023149498,0.0257558331773415
"C8_TG.60.12","TG 60:12",-0.0309550463150164,0.0135184120460267,0.0220588084490622,0.0392441592175177
"C8_QI7297",NA,-0.0157849329585967,0.0150665910808386,0.294821126994828,0.344333071986326
"C8_QI5120",NA,-0.018965274501736,0.0137253804243829,0.167086477504085,0.214825471076681
"C8_QI11020",NA,-0.0351318911969058,0.0135286971928185,0.00942772575642512,0.0190570152787916
"C8_QI1850",NA,-0.00553164543521479,0.0155425376884228,0.721922825130973,0.756535563322184
"C8_QI9896",NA,-0.0328053778040304,0.0136491016467746,0.0162642911965644,0.0296242446794566
"C8_QI2435",NA,-0.00713660172668308,0.0144050943931937,0.620316681977146,0.677917516732167
"C8_QI3132",NA,-0.0165716903202661,0.0132594853790956,0.211414750952944,0.265134892588528
"C8_QI8941",NA,-0.0286666428327405,0.0151870901621181,0.0591226859470815,0.0853374617915422
"C8_QI3326",NA,-0.0362380119893629,0.0149850797198896,0.0156181871001397,0.0291412515405047
"C8_QI3325",NA,-0.046204194555415,0.0147902874661034,0.00179121493643732,0.00498283427772563
"C8_QI3338",NA,-0.0487888146729685,0.0140814227993028,0.000533778483435118,0.00185609336285393
"C8_QI3437",NA,-0.0672260087898327,0.0140881156764621,1.86136639056332e-06,2.19068505966299e-05
"C8_QI8783",NA,-0.0638134251009028,0.0143362019341705,8.66890790217699e-06,8.84228606022053e-05
"C8_QI8717",NA,-0.0974792200998142,0.0149013031159652,6.48529301433491e-11,1.6537497186554e-09
"C8_QI8654",NA,-0.00646993300034705,0.0144738178637512,0.654881402576128,0.708607299310704
"C8_QI3670",NA,-0.0418300500281843,0.0137255696493819,0.00231515623608522,0.00580686728067276
"C8_QI3679",NA,-0.0399140837243158,0.0134683790045412,0.00305122905740193,0.00718212378126916
"C8_QI3698",NA,-0.0280471287331574,0.0147180208006048,0.0567375007091286,0.0840080219401268
"C8_QI8300",NA,-0.0282768474653048,0.0148605354088741,0.0571034920377333,0.0840080219401268
"C8_QI8223",NA,0.0512312557340488,0.0135281254473821,0.000153783043611246,0.000784293522417355
"C8_QI8146",NA,-0.0469850467077975,0.0129383898754809,0.000283872859561596,0.0011429617766559
"C8_QI8066",NA,-0.00104934834030922,0.0143037255929167,0.941520143918305,0.947714355391452
"C8_QI7914",NA,-0.0594774316870466,0.0141384441783838,2.62195648941298e-05,0.000191028258514374
"C8_QI7760",NA,-0.00662761606433155,0.0149552912454599,0.657661676484444,0.708607299310704
"C8_QI4968",NA,-0.0400189498296023,0.0144574840945627,0.00565350799311376,0.0125360394629914
"C8_QI4993",NA,-0.0445585138694857,0.0137739697481125,0.00122193821677185,0.00389492806596026
"C8_QI7229",NA,-0.0435445169555978,0.0142578573246162,0.00226566410444314,0.00577744346633001
"C8_QI7070",NA,-0.0147423762746574,0.0140507990442041,0.294113063645821,0.344333071986326
"C18_Eicosapentaenoic.acid","Eicosapentaenoic acid",-0.0345117703282408,0.0136029926768195,0.0111993321786456,0.0219679208119588
"C18_Docosahexaenoic.acid","Docosahexaenoic acid",-0.0181019728823936,0.0132044262447651,0.170449080148504,0.217322577189343
"C18_Docosapentaenoic.acid..22n.6.","Docosapentaenoic acid (22n-6)",-0.00110926605703863,0.0138792268732107,0.936300910040201,0.947714355391452
"C18_X11.methyl.lauric.acid","11-methyl lauric acid",-0.0227826857161351,0.0140059485381357,0.103856338183364,0.141875176268346
"C18_QI46395",NA,-0.0248708545698215,0.0137170273502289,0.069851817337645,0.0989567412283304
"C18_QI46396",NA,-0.0295226276062383,0.013650607232925,0.0305938614278447,0.0508789217223939
"C18_QI46781",NA,-0.0109893606465919,0.0137692166835726,0.424831614438991,0.481475829697524
"C18_QI46812",NA,-0.0102513413456887,0.0138398711565073,0.458892136322468,0.516253653362777
"C18_QI47166",NA,-0.0331063982042522,0.0131274793322492,0.0116927671750917,0.0226454857947979
